416,4-85,the wound or sore
417,4-852,the bruise
418,4-853,the swelling
419,4-854,the itch
420,4-8541,to scratch
421,4-855,the blister
422,4-856,the boil
423,4-857,the pus
424,4-858,the scar
425,4-86,to cure
426,4-87,the physician
427,4-88,the medicine
428,4-89,the poison
429,4-91,tired
430,4-912,to rest
431,4-92,lazy
432,4-93,bald
433,4-94,lame
434,4-95,deaf
435,4-96,mute
436,4-97,blind
437,4-98,drunk
438,4-99,naked
439,h5,Food and drink
440,5-11,to eat
441,5-12,the food
442,5-121,cooked
443,5-122,raw
444,5-123,ripe
445,5-124,unripe
446,5-125,rotten
447,5-13,to drink
448,5-14,to be hungry
449,5-141,the famine
450,5-15,to be thirsty
451,5-16,to suck
452,5-18,to chew
453,5-181,to swallow
454,5-19,to choke
455,5-21,to cook
456,5-22,to boil
457,5-23,to roast or fry
458,5-24,to bake
459,5-25,the oven
460,5-26,the pot
461,5-27,the kettle
462,5-28,the pan
463,5-31,the dish
464,5-32,the plate
465,5-33,the bowl
466,5-34,the jug/pitcher
467,5-35,the cup
468,5-36,the saucer
469,5-37,the spoon
470,5-38,the knife(1)
471,5-39,the fork
472,5-391,the tongs
473,5-41,the meal
474,5-42,the breakfast
475,5-43,the lunch
476,5-44,the dinner
477,5-45,the supper
478,5-46,to peel
479,5-47,to sieve or to strain
480,5-48,to scrape
481,5-49,to stir or to mix
482,5-51,the bread
483,5-53,the dough
484,5-54,to knead
485,5-55,the flour
486,5-56,to crush or to grind
487,5-57,the mill
488,5-58,the mortar(1)
489,5-59,the pestle
490,5-61,the meat
491,5-63,the sausage
492,5-64,the soup
493,5-65,the vegetables
494,5-66,the bean
495,5-7,the potato
496,5-71,the fruit
497,5-712,the bunch
498,5-75,the fig
499,5-76,the grape
500,5-77,the nut
501,5-78,the olive
502,5-79,the oil
503,5-791,the grease or fat
504,5-81,the salt
505,5-82,the pepper
506,5-821,the chili pepper
507,5-84,the honey
508,5-85,the sugar
509,5-86,the milk
510,5-87,to milk
511,5-88,the cheese
512,5-89,the butter
513,5-9,the drink
514,5-91,the mead
515,5-92,the wine
516,5-93,the beer
517,5-94,the fermented drink
518,5-97,the egg
519,5-971,the yolk
520,5-983,the manioc bread
521,h6,Clothing and grooming
522,6-11,to put on
523,6-12,the clothing or clothes
524,6-13,the tailor
525,6-21,the cloth
526,6-22,the wool
527,6-23,the linen
528,6-24,the cotton
529,6-25,the silk
530,6-27,the felt
531,6-28,the fur
532,6-29,the leather
533,6-31,to spin
534,6-32,the spindle
535,6-33,to weave
536,6-34,the loom
537,6-35,to sew
538,6-36,the needle(1)
539,6-37,the awl
540,6-38,the thread
541,6-39,to dye
542,6-41,the cloak
543,6-411,the poncho
544,6-42,the (woman's) dress
545,6-43,the coat
546,6-44,the shirt
547,6-45,the collar
548,6-46,the skirt
549,6-461,the grass-skirt
550,6-48,the trousers
551,6-49,the sock or stocking
552,6-51,the shoe
553,6-52,the boot
554,6-54,the shoemaker
555,6-55,the hat or cap
556,6-57,the belt
557,6-58,the glove
558,6-59,the veil
559,6-61,the pocket
560,6-62,the button
561,6-63,the pin
562,6-71,the ornament or adornment
563,6-72,the jewel
564,6-73,the ring
565,6-74,the bracelet
566,6-75,the necklace
567,6-76,the bead
568,6-77,the earring
569,6-78,the headband or headdress
570,6-79,the tattoo
571,6-81,the handkerchief or rag
572,6-82,the towel
573,6-91,the comb
574,6-92,the brush
575,6-921,the plait/braid
576,6-93,the razor
577,6-94,the ointment
578,6-95,the soap
579,6-96,the mirror
580,6-98,the snowshoe
581,h7,The house
582,7-11,to live
583,7-12,the house
584,7-13,the hut
585,7-131,the garden-house
586,7-14,the tent
587,7-15,the yard or court
588,7-16,the men's house
589,7-17,the cookhouse
590,7-18,the meeting house
591,7-21,the room
592,7-22,the door or gate
593,7-221,the doorpost
594,7-23,the lock
595,7-231,the latch or door-bolt
596,7-232,the padlock
597,7-24,the key
598,7-25,the window
599,7-26,the floor
600,7-27,the wall
601,7-31,the fireplace
602,7-32,the stove
603,7-33,the chimney
604,7-37,the ladder
605,7-42,the bed
606,7-421,the pillow
607,7-422,the blanket
608,7-43,the chair
609,7-44,the table
610,7-45,the lamp or torch
611,7-46,the candle
612,7-47,the shelf
613,7-48,the trough
614,7-51,the roof
615,7-52,the thatch
616,7-53,the ridgepole
617,7-54,the rafter
618,7-55,the beam
619,7-56,the post or pole
620,7-57,the board
621,7-58,the arch
622,7-61,the mason
623,7-62,the brick
624,7-63,the mortar(2)
625,7-64,the adobe
626,7-65,the camp
627,7-66,the hammock
628,7-67,to tan
629,h8,Agriculture and vegetation
630,8-11,the farmer
631,8-12,the field
632,8-121,the paddy
633,8-13,the garden
634,8-15,to cultivate
635,8-16,the fence
636,8-17,the ditch
637,8-21,to plough/plow
638,8-212,the furrow
639,8-22,to dig
640,8-23,the spade
641,8-24,the shovel
642,8-25,the hoe
643,8-26,the fork(2)/pitchfork
644,8-27,the rake
645,8-28,the digging stick (=yamstick)
646,8-29,the lasso
647,8-31,to sow
648,8-311,the seed
649,8-32,to mow
650,8-33,the sickle or scythe
651,8-34,to thresh
652,8-35,the threshing-floor
653,8-41,the harvest
654,8-42,the grain
655,8-43,the wheat
656,8-44,the barley
657,8-45,the rye
658,8-46,the oats
659,8-47,the maize/corn
660,8-48,the rice
661,8-51,the grass
662,8-52,the hay
663,8-53,the plant
664,8-531,to plant
665,8-54,the root
666,8-55,the branch
667,8-56,the leaf
668,8-57,the flower
669,8-6,the tree
670,8-61,the oak
671,8-62,the beech
672,8-63,the birch
673,8-64,the pine
674,8-65,the fir
675,8-66,the acorn
676,8-67,the vine
677,8-68,the tobacco
678,8-69,to smoke
679,8-691,the pipe
680,8-72,the tree stump
681,8-73,the tree trunk
682,8-74,the forked branch
683,8-75,the bark
684,8-76,the sap
685,8-81,the palm tree
686,8-82,the coconut
687,8-83,the citrus fruit
688,8-84,the banana
689,8-85,the banyan
690,8-91,the sweet potato
691,8-911,the millet or sorghum
692,8-912,the yam
693,8-92,the cassava/manioc
694,8-93,the gourd
695,8-931,the pumpkin or squash
696,8-94,the bamboo
697,8-941,the sugar cane
698,8-96,the fish poison
699,8-97,the nettle
700,8-98,the mushroom
701,8-991,the larch
702,8-993,the needle(2)
703,8-996,the cone
704,h9,Basic actions and technology
705,9-11,to do
706,9-111,to make
707,9-12,the work
708,9-14,to bend
709,9-15,to fold
710,9-16,to tie
711,9-161,to untie
712,9-18,the chain
713,9-19,the rope
714,9-192,the knot
715,9-21,to strike or hit or beat
716,9-211,to pound
717,9-22,to cut
718,9-221,to cut down
719,9-222,to chop
720,9-223,to stab
721,9-23,the knife(2)
722,9-24,the scissors or shears
723,9-25,the axe/ax
724,9-251,the adze
725,9-26,to break
726,9-261,broken
727,9-27,to split
728,9-28,to tear
729,9-29,to skin
730,9-31,to rub
731,9-311,to wipe
732,9-32,to stretch
733,9-33,to pull
734,9-34,to spread out
735,9-341,to hang up
736,9-342,to press
737,9-343,to squeeze
738,9-35,to pour
739,9-36,to wash
740,9-37,to sweep
741,9-38,the broom
742,9-422,the tool
743,9-43,the carpenter
744,9-44,to build
745,9-46,to bore
746,9-461,to hollow out
747,9-48,the saw
748,9-49,the hammer
749,9-5,the nail
750,9-56,the glue
751,9-6,the blacksmith
752,9-61,to forge
753,9-62,the anvil
754,9-63,to cast
755,9-64,the gold
756,9-65,the silver
757,9-66,the copper
758,9-67,the iron
759,9-68,the lead
760,9-69,the tin or tinplate
761,9-71,the potter
762,9-72,to mould/mold
763,9-73,the clay
764,9-74,the glass
765,9-75,to weave or plait/braid
766,9-76,the basket
767,9-77,the mat
768,9-771,the rug
769,9-78,the netbag
770,9-79,the fan
771,9-791,to fan
772,9-81,to carve
773,9-82,the sculptor
774,9-83,the statue
775,9-84,the chisel
776,9-87,the boomerang
777,9-88,the paint
778,9-89,to paint
779,9-9,to draw water
780,9-91,the peg
781,9-92,the tumpline
782,9-93,the whetstone
783,h10,Motion
784,10-11,to move
785,10-12,to turn
786,10-13,to turn around
787,10-14,to wrap
788,10-15,to roll
789,10-16,to drop
790,10-17,to twist
791,10-21,to rise
792,10-22,to raise or lift
793,10-23,to fall
794,10-24,to drip
795,10-25,to throw
796,10-252,to catch
797,10-26,to shake
798,10-32,to flow
799,10-33,to sink
800,10-34,to float
801,10-35,to swim
802,10-351,to dive
803,10-352,to splash
804,10-36,to sail
805,10-37,to fly
806,10-38,to blow
807,10-41,to crawl
808,10-412,to kneel
809,10-413,to crouch
810,10-42,to slide or slip
811,10-43,to jump
812,10-431,to kick
813,10-44,to dance
814,10-45,to walk
815,10-451,to limp
816,10-46,to run
817,10-47,to go
818,10-471,to go up
819,10-472,to climb
820,10-473,to go down
821,10-474,to go out
822,10-48,to come
823,10-481,to come back
824,10-49,to leave
825,10-491,to disappear
826,10-51,to flee
827,10-52,to follow
828,10-53,to pursue
829,10-55,to arrive
830,10-56,to approach
831,10-57,to enter
832,10-58,to go or return home
833,10-61,to carry
834,10-612,to carry in hand
835,10-613,to carry on shoulder
836,10-614,to carry on head
837,10-615,to carry under the arm
838,10-62,to bring
839,10-63,to send
840,10-64,to lead
841,10-65,to drive
842,10-66,to ride
843,10-67,to push
844,10-71,the road
845,10-72,the path
846,10-74,the bridge
847,10-75,the cart or wagon
848,10-76,the wheel
849,10-77,the axle
850,10-78,the yoke
851,10-79,the sledge/sled
852,10-81,the ship
853,10-83,the boat
854,10-831,the canoe
855,10-832,the outrigger
856,10-84,the raft
857,10-85,the oar
858,10-851,the paddle
859,10-852,to row
860,10-86,the rudder
861,10-87,the mast
862,10-88,the sail
863,10-89,the anchor
864,10-91,the port
865,10-92,to land
866,h11,Possession
867,11-11,to have
868,11-12,to own
869,11-13,to take
870,11-14,to grasp
871,11-15,to hold
872,11-16,to get
873,11-17,to keep
874,11-18,the thing
875,11-21,to give
876,11-22,to give back
877,11-24,to preserve
878,11-25,to rescue
879,11-27,to destroy
880,11-28,to injure
881,11-29,to damage
882,11-31,to look for
883,11-32,to find
884,11-33,to lose
885,11-34,to let go
886,11-43,the money
887,11-44,the coin
888,11-51,rich
889,11-52,poor
890,11-53,the beggar
891,11-54,stingy
892,11-61,to lend
893,11-62,to borrow
894,11-63,to owe
895,11-64,the debt
896,11-65,to pay
897,11-66,the bill
898,11-69,the tax
899,11-77,to hire
900,11-78,the wages
901,11-79,to earn
902,11-81,to buy
903,11-82,to sell
904,11-83,to trade or barter
905,11-84,the merchant
906,11-85,the market
907,11-86,the shop/store
908,11-87,the price
909,11-88,expensive
910,11-89,cheap
911,11-91,to share
912,11-92,to weigh
913,h12,Spatial relations
914,12-01,after
915,12-011,behind
916,12-012,in
917,12-013,at
918,12-02,beside
919,12-03,down
920,12-04,before
921,12-041,in front of
922,12-05,inside
923,12-06,outside
924,12-07,under
925,12-08,up
926,12-081,above
927,12-11,the place
928,12-12,to put
929,12-13,to sit
930,12-14,to lie down
931,12-15,to stand
932,12-16,to remain
933,12-17,the remains
934,12-21,to gather
935,12-212,to pick up
936,12-213,to pile up
937,12-22,to join
938,12-23,to separate
939,12-232,to divide
940,12-24,to open
941,12-25,to shut
942,12-26,to cover
943,12-27,to hide
944,12-31,high
945,12-32,low
946,12-33,the top
947,12-34,the bottom
948,12-35,the end(1)
949,12-352,pointed
950,12-353,the edge
951,12-36,the side
952,12-37,the middle
953,12-41,right(1)
954,12-42,left
955,12-43,near
956,12-44,far
957,12-45,the east
958,12-46,the west
959,12-47,the north
960,12-48,the south
961,12-53,to grow
962,12-54,to measure
963,12-541,the fathom
964,12-55,big
965,12-56,small
966,12-57,long
967,12-58,tall
968,12-59,short
969,12-61,wide
970,12-62,narrow
971,12-63,thick
972,12-65,thin
973,12-67,deep
974,12-68,shallow
975,12-71,flat
976,12-73,straight
977,12-74,crooked
978,12-75,the hook
979,12-76,the corner
980,12-77,the cross
981,12-78,the square
982,12-81,round
983,12-82,the circle
984,12-83,the ball
985,12-84,the line
986,12-85,the hole
987,12-92,similar
988,12-93,to change
989,h13,Quantity
990,13,zero
991,13-01,one
992,13-02,two
993,13-03,three
994,13-04,four
995,13-05,five
996,13-06,six
997,13-07,seven
998,13-08,eight
999,13-09,nine
1000,13-1,ten
1001,13-101,eleven
1002,13-102,twelve
1003,13-103,fifteen
1004,13-104,twenty
1005,13-105,a hundred
1006,13-106,a thousand
1007,13-107,to count
1008,13-14,all
1009,13-15,many
1010,13-16,more
1011,13-17,few
1012,13-18,enough
1013,13-181,some
1014,13-19,the crowd
1015,13-21,full
1016,13-22,empty
1017,13-23,the part
1018,13-231,the piece
1019,13-24,the half
1020,13-33,only
1021,13-331,alone
1022,13-34,first
1023,13-35,last
1024,13-36,second
1025,13-37,the pair
1026,13-38,twice/two times
1027,13-42,third
1028,13-44,three times
1029,h14,Time
1030,14-11,the time
1031,14-12,the age
1032,14-13,new
1033,14-14,young
1034,14-15,old
1035,14-16,early
1036,14-17,late
1037,14-18,now
1038,14-19,immediately
1039,14-21,fast
1040,14-22,slow
1041,14-23,to hurry
1042,14-24,to be late
1043,14-25,to begin
1044,14-251,the beginning
1045,14-252,to last
1046,14-26,the end(2)
1047,14-27,to finish
1048,14-28,to cease
1049,14-29,ready
1050,14-31,always
1051,14-32,often
1052,14-33,sometimes
1053,14-331,soon
1054,14-332,for a long time
1055,14-34,never
1056,14-35,again
1057,14-41,the day(1)
1058,14-411,the day(2)
1059,14-42,the night
1060,14-43,the dawn
1061,14-44,the morning
1062,14-45,the midday
1063,14-451,the afternoon
1064,14-46,the evening
1065,14-47,today
1066,14-48,tomorrow
1067,14-481,the day after tomorrow
1068,14-49,yesterday
1069,14-491,the day before yesterday
1070,14-51,the hour
1071,14-53,the clock
1072,14-61,the week
1073,14-62,Sunday
1074,14-63,Monday
1075,14-64,Tuesday
1076,14-65,Wednesday
1077,14-66,Thursday
1078,14-67,Friday
1079,14-68,Saturday
1080,14-71,the month
1081,14-73,the year
1082,14-74,the winter
1083,14-75,the spring(2)
1084,14-76,the summer
1085,14-77,the autumn/fall
1086,14-78,the season
1087,h15,Sense perception
1088,15-21,to smell(1)
1089,15-212,to sniff
1090,15-22,to smell(2)
1091,15-25,fragrant
1092,15-26,stinking
1093,15-31,to taste
1094,15-35,sweet
1095,15-36,salty
1096,15-37,bitter
1097,15-38,sour
1098,15-39,brackish
1099,15-41,to hear
1100,15-42,to listen
1101,15-44,the sound or noise
1102,15-45,loud
1103,15-46,quiet
1104,15-51,to see
1105,15-52,to look
1106,15-55,to show
1107,15-56,to shine
1108,15-57,bright
1109,15-61,the colour/color
1110,15-62,light(2)
1111,15-63,dark
1112,15-64,white
1113,15-65,black
1114,15-66,red
1115,15-67,blue
1116,15-68,green
1117,15-69,yellow
1118,15-71,to touch
1119,15-712,to pinch
1120,15-72,to feel
1121,15-74,hard
1122,15-75,soft
1123,15-76,rough(1)
1124,15-77,smooth
1125,15-78,sharp
1126,15-79,blunt
1127,15-81,heavy
1128,15-82,light(1)
1129,15-83,wet
1130,15-84,dry
1131,15-85,hot
1132,15-851,warm
1133,15-86,cold
1134,15-87,clean
1135,15-88,dirty
1136,15-89,wrinkled
1137,h16,Emotions and values
1138,16-11,the soul or spirit
1139,16-15,surprised or astonished
1140,16-18,the good luck
1141,16-19,the bad luck
1142,16-23,happy
1143,16-25,to laugh
1144,16-251,to smile
1145,16-26,to play
1146,16-27,to love
1147,16-29,to kiss
1148,16-3,to embrace
1149,16-31,the pain
1150,16-32,the grief
1151,16-33,the anxiety
1152,16-34,to regret or be sorry
1153,16-35,the pity
1154,16-37,to cry
1155,16-38,the tear
1156,16-39,to groan
1157,16-41,to hate
1158,16-42,the anger
1159,16-44,the envy or jealousy
1160,16-45,the shame
1161,16-48,proud
1162,16-51,to dare
1163,16-52,brave
1164,16-53,the fear
1165,16-54,the danger
1166,16-62,to want
1167,16-622,to choose
1168,16-63,to hope
1169,16-65,faithful
1170,16-66,true
1171,16-67,to lie(2)
1172,16-68,the deceit
1173,16-69,to forgive
1174,16-71,good
1175,16-72,bad
1176,16-73,right(2)
1177,16-74,wrong
1178,16-76,the fault
1179,16-77,the mistake
1180,16-78,the blame
1181,16-79,the praise
1182,16-81,beautiful
1183,16-82,ugly
1184,16-83,greedy
1185,16-84,clever
1186,h17,Cognition
1187,17-11,the mind
1188,17-13,to think(1)
1189,17-14,to think(2)
1190,17-15,to believe
1191,17-16,to understand
1192,17-17,to know
1193,17-171,to guess
1194,17-172,to imitate
1195,17-18,to seem
1196,17-19,the idea
1197,17-21,wise
1198,17-22,stupid
1199,17-23,mad
1200,17-24,to learn
1201,17-242,to study
1202,17-25,to teach
1203,17-26,the pupil
1204,17-27,the teacher
1205,17-28,the school
1206,17-31,to remember
1207,17-32,to forget
1208,17-34,clear
1209,17-35,obscure
1210,17-36,secret
1211,17-37,certain
1212,17-38,to explain
1213,17-41,the intention
1214,17-42,the cause
1215,17-43,the doubt
1216,17-44,to suspect
1217,17-441,to betray
1218,17-45,the need or necessity
1219,17-46,easy
1220,17-47,difficult
1221,17-48,to try
1222,17-49,the manner
1223,17-51,and
1224,17-52,because
1225,17-53,if
1226,17-54,or
1227,17-55,yes
1228,17-56,no
1229,17-61,how?
1230,17-62,how many?
1231,17-63,how much?
1232,17-64,what?
1233,17-65,when?
1234,17-66,where?
1235,17-67,which?
1236,17-68,who?
1237,17-69,why?
1238,h18,Speech and language
1239,18-11,the voice
1240,18-12,to sing
1241,18-13,to shout
